stop_order,stop_id,line_id
16,1965181,196516_west
17,1965182,196516_west
18,1965183,196516_west
19,1965184,196516_west
0,1965185,196517_west
1,,196517_west
2,1965186,196517_west
3,1965187,196517_west
4,1965188,196517_west
5,1965189,196517_west
6,1965190,196517_west
7,1965191,196517_west
8,1965192,196517_west
9,1965193,196517_west
10,1965194,196517_west
11,1965195,196517_west
12,1965196,196517_west
13,1965197,196517_west
14,1965198,196517_west
15,1965199,196517_west
0,1965200,196518_west
1,1965201,196518_west
2,1965202,196518_west
3,1965203,196518_west
4,1965204,196518_west
5,1965205,196518_west
6,1965206,196518_west
7,1965207,196518_west
8,1965208,196518_west
9,1965209,196518_west
10,1965210,196518_west
11,1965211,196518_west
12,1965212,196518_west
13,1965213,196518_west
14,1965214,196518_west
15,1965215,196518_west
0,1965216,196519_west
1,1965217,196519_west
2,1965218,196519_west
3,1965219,196519_west
4,1965220,196519_west
5,1965221,196519_west
6,1965222,196519_west
7,1965223,196519_west
8,1965224,196519_west
9,1965225,196519_west
10,1965226,196519_west
11,,196519_west
12,1965227,196519_west
13,1965228,196519_west
14,1965229,196519_west
15,1965230,196519_west
0,,196520_west
1,1965231,196520_west
2,1965232,196520_west
3,1965233,196520_west
4,1965234,196520_west
5,,196520_west
6,1965235,196520_west
7,1965236,196520_west
8,,196520_west
9,1965237,196520_west
10,1965238,196520_west
11,1965239,196520_west
12,1965240,196520_west
13,1965241,196520_west
14,1965242,196520_west
15,1965243,196520_west
16,1965244,196520_west
0,1965245,196521_west
1,1965246,196521_west
2,1965247,196521_west
3,1965248,196521_west
4,1965249,196521_west
5,1965250,196521_west
6,1965251,196521_west
7,,196521_west
8,1965252,196521_west
9,1965253,196521_west
10,1965254,196521_west
11,1965255,196521_west
12,1965256,196521_west
13,1965257,196521_west
14,1965258,196521_west
0,1965259,196522_west
1,1965260,196522_west
2,,196522_west
3,1965261,196522_west
4,1965262,196522_west
5,1965263,196522_west
6,1965264,196522_west
7,1965265,196522_west
8,1965266,196522_west
9,1965267,196522_west
10,,196522_west
11,,196522_west
12,,196522_west
13,1965268,196522_west
14,,196522_west
15,1965269,196522_west
0,1965270,196523_west
1,1965271,196523_west
2,1965272,196523_west
3,1965273,196523_west
4,1965274,196523_west
5,,196523_west
6,1965275,196523_west
7,1965276,196523_west
8,1965277,196523_west
9,,196523_west
10,1965278,196523_west
11,1965279,196523_west
12,,196523_west
13,1965280,196523_west
14,1965281,196523_west
0,,196524_west
1,,196524_west
2,1965282,196524_west
3,1965283,196524_west
4,,196524_west
5,1965284,196524_west
6,1965285,196524_west
7,1965286,196524_west
