stop_name,type,line_name,stop_id,location,identifier,neighbourhood,district,east_west,postal_code
Dovebrücke,autobus,A1,196585,"52.51943492,13.31929294",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10587
Otto-Suhr-Allee Ecke Cauerstrasse,autobus,A1,196586,"52.51467908,13.31513688",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10585
Kurfürstendamm Ecke Leibnizstrasse,autobus,A1,196587,"52.50064083,13.31300996",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10707
U-Bhf. Fehrbelliner Platz,autobus,A1,196588,"52.49039093,13.31417746",,Wilmersdorf,Charlottenburg-Wilmersdorf,west,10707
Berlinerstrasse Ecke Brandenburgischestrasse,autobus,A1,196589,"52.48649124,13.32038510",,Wilmersdorf,Charlottenburg-Wilmersdorf,west,10715
Hildegardstrasse Ecke Blissestrasse,autobus,A1,196590,"52.48181400,13.32032961",,Wilmersdorf,Charlottenburg-Wilmersdorf,west,10713
Detmolderstrasse Ecke Blissestrasse,autobus,A1,196591,"52.47879433,13.32028118",,Wilmersdorf,Charlottenburg-Wilmersdorf,west,10713
Breitenbachplatz,autobus,A1,196592,"52.46721972,13.30947349",,Dahlem,Steglitz-Zehlendorf,west,14195
Botanischer Garten,autobus,A1,196593,"52.45859880,13.30343606",,Dahlem,Steglitz-Zehlendorf,west,14195
Pacelliallee/Thielallee,autobus,A1,196594,"52.45822390,13.28702576",,Dahlem,Steglitz-Zehlendorf,west,14195
Clayallee Ecke Königin-Luise-Strasse,autobus,A1,196595,"52.46044681,13.27489827",,Dahlem,Steglitz-Zehlendorf,west,14195
U-Bhf. Oskar-Helene-Heim,autobus,A1,196596,"52.45027901,13.27036199",,Dahlem,Steglitz-Zehlendorf,west,14195
Potsdamerstrasse Ecke Clayallee,autobus,A1,196597,"52.43505475,13.26040016",,Zehlendorf,Steglitz-Zehlendorf,west,14169
Rathaus Zehlendorf,autobus,A1,196598,"52.43320752,13.25953192",,Zehlendorf,Steglitz-Zehlendorf,west,14169
Machnowerstrasse Ecke Teltowerdamm,autobus,A1,196599,"52.43081519,13.25928297",,Zehlendorf,Steglitz-Zehlendorf,west,14167
Beeskowdamm Ecke Teltowerstrasse,autobus,A1,1965100,"52.40897892,13.26734680",,Zehlendorf,Steglitz-Zehlendorf,west,14167
Wismarerstrasse Ecke Goerzallee,autobus,A1,1965101,"52.42196127,13.29845504",,Lichterfelde,Steglitz-Zehlendorf,west,12207
Lindenstrasse Ecke Ostpreußendamm,autobus,A1,1965102,"52.41788577,13.30524076",,Lichterfelde,Steglitz-Zehlendorf,west,12207
"Bhf. Zoo, Hardenbergplatz",autobus,A2,1965103,"52.50696177,13.33308096",,Charlottenburg,Charlottenburg-Wilmersdorf,west,10623
Spichernstrasse Ecke Bundesallee,autobus,A2,1965104,"52.49595111,13.33077976",,Wilmersdorf,Charlottenburg-Wilmersdorf,west,10719
