stop_id,stop_name,type,location,in_lines,identifier,line_name,district,neighborhood,east_west_admin
196589,Berlinerstrasse Ecke Brandenburgischestrasse,autobus,"52.48649124,13.32038510",,,A1,Charlottenburg-Wilmersdorf,Wilmersdorf,west
196590,Hildegardstrasse Ecke Blissestrasse,autobus,"52.48181400,13.32032961",,,A1,Charlottenburg-Wilmersdorf,Wilmersdorf,west
196591,Detmolderstrasse Ecke Blissestrasse,autobus,"52.47879433,13.32028118",,,A1,Charlottenburg-Wilmersdorf,Wilmersdorf,west
196592,Breitenbachplatz,autobus,"52.46721972,13.30947349",,,A1,Steglitz-Zehlendorf,Dahlem,west
196593,Botanischer Garten,autobus,"52.45859880,13.30343606",,,A1,Steglitz-Zehlendorf,Dahlem,west
196594,Pacelliallee/Thielallee,autobus,"52.45822390,13.28702576",,,A1,Steglitz-Zehlendorf,Dahlem,west
196595,Clayallee Ecke Königin-Luise-Strasse,autobus,"52.46044681,13.27489827",,,A1,Steglitz-Zehlendorf,Dahlem,west
196596,U-Bhf. Oskar-Helene-Heim,autobus,"52.45027901,13.27036199",,,A1,Steglitz-Zehlendorf,Dahlem,west
196597,Potsdamerstrasse Ecke Clayallee,autobus,"52.43505475,13.26040016",,,A1,Steglitz-Zehlendorf,Zehlendorf,west
196598,Rathaus Zehlendorf,autobus,"52.43320752,13.25953192",,,A1,Steglitz-Zehlendorf,Zehlendorf,west
196599,Machnowerstrasse Ecke Teltowerdamm,autobus,"52.43081519,13.25928297",,,A1,Steglitz-Zehlendorf,Zehlendorf,west
1965100,Beeskowdamm Ecke Teltowerstrasse,autobus,"52.40897892,13.26734680",,,A1,Steglitz-Zehlendorf,Zehlendorf,west
1965101,Wismarerstrasse Ecke Goerzallee,autobus,"52.42196127,13.29845504",,,A1,Steglitz-Zehlendorf,Lichterfelde,west
1965102,Lindenstrasse Ecke Ostpreußendamm,autobus,"52.41788577,13.30524076",,,A1,Steglitz-Zehlendorf,Lichterfelde,west
1965103,"Bhf. Zoo, Hardenbergplatz",autobus,"52.50696177,13.33308096",,,A2,Charlottenburg-Wilmersdorf,Charlottenburg,west
1965104,Spichernstrasse Ecke Bundesallee,autobus,"52.49595111,13.33077976",,,A2,Charlottenburg-Wilmersdorf,Wilmersdorf,west
1965105,Berlinerstrasse Ecke Bundesallee,autobus,"52.48732427,13.33091399",,,A2,Charlottenburg-Wilmersdorf,Wilmersdorf,west
1965106,Bundesplatz,autobus,"52.47867899,13.32860278",,,A2,Charlottenburg-Wilmersdorf,Wilmersdorf,west
1965107,Friedrich-Wilhelm-Platz,autobus,"52.47128806,13.32836213",,,A2,Tempelhof-Schöneberg,Friedenau,west
1965108,Schloßstrasse Ecke Bundesallee,autobus,"52.46494077,13.32851361",,,A2,Tempelhof-Schöneberg,Friedenau,west
1965109,Feuerbachstrasse Ecke Bismarckstrasse,autobus,"52.46451344,13.33892787",,,A2,Steglitz-Zehlendorf,Steglitz,west
1965110,Bergstrasse Ecke Bismarckstrasse,autobus,"52.45863817,13.33931462",,nan+ nan,A2,Steglitz-Zehlendorf,Steglitz,west
1965111,Steglitzerdamm Ecke Halskestrasse,autobus,"52.45002165,13.34670705",,,A2,Steglitz-Zehlendorf,Steglitz,west
1965112,Leonorenstrasse Ecke Siemensstrasse,autobus,"52.44438058,13.33887527",,,A2,Steglitz-Zehlendorf,Lankwitz,west
1965113,"Lankwitz, Kirche",autobus,"52.43629187,13.34574539",,,A2,Steglitz-Zehlendorf,Lankwitz,west
1965114,Havensteinstrasse Ecke Gallwitzallee,autobus,"52.43194849,13.34634331",,,A2,Steglitz-Zehlendorf,Lankwitz,west
1965115,Lerbacher Weg,autobus,"52.42568639,13.34759454",,,A2,Steglitz-Zehlendorf,Lankwitz,west
1965116,Trippsteinstrase Ecke Frankenhauserstrasse,autobus,"52.41708279,13.34765431",,,A2,Steglitz-Zehlendorf,Lankwitz,west
1965117,Winfriedstrasse Ecke Clayallee,autobus,"52.43922363,13.26287811",,,A3,Steglitz-Zehlendorf,Zehlendorf,west
1965118,Sundgauerstrasse Ecke Clayallee,autobus,"52.44557392,13.26767122",,,A3,Steglitz-Zehlendorf,Zehlendorf,west
1965119,U-Bhf. Onkel-Toms-Hütte,autobus,"52.45007713,13.25127259",,,A3,Steglitz-Zehlendorf,Zehlendorf,west
1965120,U-Bhf. Krumme Lanke,autobus,"52.44361298,13.24100643",,,A3,Steglitz-Zehlendorf,Zehlendorf,west
1965121,Lindenthalerallee Ecke Argentischestrasse,autobus,"52.43767236,13.23234537",,,A3,Steglitz-Zehlendorf,Zehlendorf,west
1965122,Spanischeallee Ecke Potsdamerschaussee,autobus,"52.42962237,13.22400734",,,A3,Steglitz-Zehlendorf,Nikolassee,west
1965123,Schopenhauerstrasse Ecke Spanischeallee,autobus,"52.43394923,13.21204795",,,A3,Steglitz-Zehlendorf,Nikolassee,west
1965124,Borussenstrasse Ecke Spanischeallee,autobus,"52.43382331,13.19324567",,,A3,Steglitz-Zehlendorf,Nikolassee,west
1965125,Am Beelitzhof Ecke Kronprinzessinnenweg,autobus,"52.43221622,13.18668380",,,A3,Steglitz-Zehlendorf,Nikolassee,west
1965126,Bhf. Wannsee,autobus,"52.42151302,13.17810257",,,A3,Steglitz-Zehlendorf,Wannsee,west
1965127,Am Großen Wannssee Ecke Königstrasse,autobus,"52.42050256,13.16717980",,,A3,Steglitz-Zehlendorf,Wannsee,west
1965128,Pfaueninselchaussee Ecke Königstrasse,autobus,"52.41883990,13.15300828",,,A3,Steglitz-Zehlendorf,Wannsee,west
1965129,Rathaus Wannsee,autobus,"52.41844013,13.14887249",,,A3,Steglitz-Zehlendorf,Wannsee,west
1965130,"Stölpchensee, Wilhelmplatz",autobus,"52.41240583,13.14164452",,,A3,Steglitz-Zehlendorf,Wannsee,west
1965131,"Neu-Westend, Brixplatz",autobus,"52.51950863,13.25638651",,,A4,Charlottenburg-Wilmersdorf,Westend,west
1965132,Theodor-Heuss-Platz,autobus,"52.50937134,13.27256472",,,A4,Charlottenburg-Wilmersdorf,Westend,west
1965133,Messedamm,autobus,"52.50446815,13.27941210",,,A4,Charlottenburg-Wilmersdorf,Westend,west
1965134,Henriettenplatz,autobus,"52.49701780,13.29033951",,,A4,Charlottenburg-Wilmersdorf,Halensee,west
1965135,Hochmeisterplatz,autobus,"52.49468638,13.30125468",,,A4,Charlottenburg-Wilmersdorf,Wilmersdorf,west
1965136,Berlinerstrasse Ecke Uhlandstrasse,autobus,"52.48647343,13.32250152",,,A4,Charlottenburg-Wilmersdorf,Wilmersdorf,west
1965137,Bundesallee Ecke Badenschestrasse,autobus,"52.48612222,13.33105202",,,A4,Charlottenburg-Wilmersdorf,Wilmersdorf,west
1965138,Rathaus Schöneberg,autobus,"52.48515474,13.34508660",,,A4,Tempelhof-Schöneberg,Schöneberg,east
1965139,Innsbrucker Platz,autobus,"52.47854551,13.34405869",,,A4,Tempelhof-Schöneberg,Schöneberg,east
1965140,Hauptstrasse Ecke Dominicusstrasse,autobus,"52.48178378,13.34841821",,",+nan",A4,Tempelhof-Schöneberg,Schöneberg,east
1965141,Kaiser-Wilhelm-Platz,autobus,"52.48632925,13.35655627",,,A4,Tempelhof-Schöneberg,Schöneberg,east
1965142,Dudenstrasse Ecke Katzbachstrasse,autobus,"52.48503402,13.37659343",,,A4,Friedrichshain-Kreuzberg,Kreuzberg,west
1965143,U-Bhf. Flughafen,autobus,"52.48488596,13.38599655",,,A4,Friedrichshain-Kreuzberg,Kreuzberg,west
1965144,Columbiadamm Ecke Friesenstrasse,autobus,"52.48396787,13.39436897",,,A4,Friedrichshain-Kreuzberg,Kreuzberg,west
1965145,Flughafenstrasse Ecke Hermannstrasse,autobus,"52.48071391,13.42508430",,,A4,Neukölln,Neukölln,east
1965146,Kienitzerstrasse Ecke Karl-Marx-Strasse,autobus,"52.47761763,13.43849396",,,A4,Neukölln,Neukölln,east
1965147,Sonnenallee Ecke Erkstrasse,autobus,"52.48167462,13.44010366",,,A4,Neukölln,Neukölln,east
1965148,Harzerstrasse Ecke Elsenstrasse,autobus,"52.48508524,13.44890845",,,A4,Neukölln,Neukölln,east
1965149,Machandelweg,autobus,"52.52483520,13.24567178",,,A5,Spandau,Spandau,west
1965150,U-Bhf. Ruhleben,autobus,"52.52596833,13.24147858",,,A5,Spandau,Spandau,west
1965151,Teltowerstrasse Ecke Ruhlebenerstrasse,autobus,"52.52649488,13.21644671",,,A5,Spandau,Wilhelmstadt,west
1965152,Stresowplatz,autobus,"52.53362878,13.20678183",,,A5,Spandau,Spandau,west
1965153,Breite Straße Ecke Charlottenstraße,autobus,"52.53614601,13.20442667",,,A5,Spandau,Spandau,west
1965154,Rathaus Spandau,autobus,"52.53457836,13.19949094",,,A5,Spandau,Spandau,west
1965155,Zeppelinstrasse Ecke Seegefelderstrasse,autobus,"52.53843134,13.18241060",,,A5,Spandau,Spandau,west
1965156,Falkenseerchaussee Ecke Zeppelinstrasse,autobus,"52.54753513,13.18466337",,,A5,Spandau,Falkenhagener Feld,west
