stop_id,stop_name,type,location,in_lines,identifier,stop_description
1964513,"Hohenschönhausen, Falkenberger Strasse",strassenbahn,"52.5508672,13.5094994","70,64",Q65555882,
1964514,"Hohenschönhausen, Gartenstadt",strassenbahn,"52.5508672,13.5094994",63,Q65555882,
1964515,"Hohenschönhausen, Hauptstrasse",strassenbahn,"52.548884396434666, 13.504600838756778","64, 63",nan+ nan,nan+ nan
1964516,Hohenschönhauser Strasse,strassenbahn,"52.5359329,13.4729468",3,Q65553684,
1964517,Hohenschöpping,s-bahn,"52.67,13.1945",KBS 104d,Q19274489,Bahnhof Hohenschöpping
1964518,Hohenstaufenplatz,bus,"52.49085480753271, 13.423419999335453",A67,,Hohenstaufenplatz
1964519,Hohenzollerndamm,s-bahn,"52.4885,13.3004","KBS 100,KBS 100k",Q800503,Berlin Hohenzollerndamm station
1964520,Hohenzollerndamm Ecke Stadtautobahn,bus,"52.48792295982247, 13.300561105734886",A65,,
1964521,Hohenzollernplatz,u-bahn,"52.493888888889,13.325",A II,Q571570,Hohenzollernplatz
1964522,Hohenzollernring,strassenbahn,"52.55534806923232, 13.198657615343986","54,75,55,53",,Hohenzollernring Ecke Schönwalder Allee
1964523,Hohenzollernring,strassenbahn,"52.55569292602298, 13.20744492422738","54,75,55,53",,Hohenzollernring Ecke Streitstraße
1964524,Hohenzollernring Ecke Schönwalder Allee,strassenbahn,"52.55534151822626, 13.19859323872282",76,,
1964525,Hohenzollernring Ecke Schönwalderstrasse,bus,"52.55533190780674, 13.198609053537405",AS1s,,
1964526,Holteistrasse Ecke Boxhagenerstrasse,strassenbahn,"52.5088235,13.465969","3, 13","Q65675805, Q65675805","nan, nan"
1964527,Holtheimer Weg,bus,"52.40993443198323, 13.3033907179267",A85,,
1964528,Holzhauser Str.,u-bahn,"52.575833333333,13.296111111111",C I,Q557566,Holzhauser Straße
1964529,Holzhauser Strasse,bus,"52.581973276504755, 13.305409380050108",A15,,Holzhauser Strasse Ecke Breitenbachstrasse
1964530,Holzhauser Strasse,bus,"52.59178549505881, 13.326377240287412",A15,,"Holzhauser Strasse, Rathaus Reinickendorf"
1964531,Hoppegarten (Mark),s-bahn,"52.5183,13.6734",KBS 101,Q15197357,Hoppegarten (Mark) station
1964532,Hottengrund,bus,"52.44597765000425, 13.126251393745859",A35,,Hottengrund
1964533,Hultschiner Damm,bus,"52.47711373957008, 13.600598140620137",A8,,
1964534,Humannplatz,strassenbahn,"52.5493627,13.4213646",70,Q65962652,Humannplatz
1964535,Humboldthain,s-bahn,"52.5451,13.3796","KBS 100d,KBS 100c,KBS 100e",Q481276,Berlin Humboldthain station
1964536,Humboldtstrasse,bus,"52.56929443788896, 13.32995611157798",A61,,Humboldtstrasse Ecke Ollenhauerstrasse
1964537,Hundekehlestrasse,bus,"52.47548162130776, 13.290308772196097",A10,,Hundekehlestrasse Ecke Warnemünder Strasse
1964538,Huttenstrasse Ecke Beusselstrasse,bus,"52.52740013259484, 13.32867332200994",A89,,
1964539,Händelplatz,bus,"52.45066565860092, 13.31587443471538","A85,A84",,
1964540,Höllenderstrasse Ecke Septimer Strasse,bus,"52.56299560036044, 13.344839082081203",A64,,
1964541,"Hönow, Dorfstrasse",bus,"52.54884927869554, 13.63648687804691",A44,,
1964542,Hönower Wiesenweg Ecke Blockdammweg,strassenbahn,"52.48430451205336, 13.505804756687008",13,,
1964543,Ihnestrasse,bus,"52.44831039409289, 13.276355065531465",A11,,Ihnestrasse Ecke Garystrasse
1964544,Im Fischgrund,bus,"52.62964256060701, 13.294346609144698",A12S,,
1964545,Imbrosweg,strassenbahn,"52.443541863050356, 13.398564688322455",15,,Imbrosweg
1964546,Imbrosweg Ecke Dardanellenweg,bus,"52.44483855102966, 13.410828366543775",A81,,
