stop_name,location,type,line_name,stop_id,identifier
Ihnestrasse Ecke Garystrasse,"52.448311701461854, 13.276339955508188",autobus,A11,1965188,
Unter den Eichen Ecke Habelschwendterallee,"52.44574706046687, 13.29356835124404",autobus,A11,1965190,
Gardeschützerweg Ecke Drakestrasse,"52.44267225285797, 13.297009710758717",autobus,A11,1965191,
Ringstrasse Ecke Drakestrasse,"52.439795072040305, 13.300169710766335",autobus,A11,1965192,
Ostrpreußendamm Ecke Königsbergerstrasse,"52.43078833944509, 13.317501445385023",autobus,A11,1965194,
Marienstrasse Ecke Königsbergerstrasse,"52.429463219141574, 13.321663076278776",autobus,A11,1965195,
Morgensternstrasse Ecke Königsbergerstrasse,"52.42807231050682, 13.325514065785399",autobus,A11,1965196,
Langestrasse Ecke Lorenzstrasse,"52.42401445736747, 13.333131548439392",autobus,A11,1965198,
Hildburghauserstrasse Ecke Mariannenstrasse,"52.41661432293011, 13.338182455283924",autobus,A11,1965199,
Stadtilmerweg,"52.41507277926442, 13.345974851110382",autobus,A11,1965200,
"Marienelde, Alt-Marienfelde","52.41210780957036, 13.362733595797444",autobus,A11,1965201,
Gartenstrasse Ecke Bernauerstrasse,"52.53343697586798, 13.38751888837309",autobus,A12,1965202,
Grenzstrasse Ecke Ackerstrasse,"52.540704523468946, 13.379267137377845",autobus,A12,1965203,
Emmentalerstrasse Ecke Aroserallee,"52.567515525967146, 13.351201176296803",autobus,A12,1965207,
Lindauerallee Ecke Roedernallee,"52.57437590261102, 13.347731957706552",autobus,A12,1965208,
Cyclopstrasse Ecke Hermsdorferstrasse,"52.60209837194489, 13.324823032304998",autobus,A12,1965211,
Zabel-Krüger-Damm Ecke Oraniendamm,"52.607852151672446, 13.323789756818899",autobus,A12,1965212,
Almutstrasse Ecke Berlinerstrasse,"52.61486970053511, 13.317063139612806",autobus,A12,1965213,
Hermsdorferdamm Ecke Berlinerstrasse,"52.62241092875336, 13.312887756989257",autobus,A12,1965214,
Zeitingerplatz,"52.633522574497604, 13.29039813478413",autobus,A12,1965215,
Donnersmarkplatz,"52.63014386730099, 13.280464361922515",autobus,A12,1965216,
Hainbuchenstrasse Ecke Stolzingstrasse,"52.634365785581956, 13.274956117508196",autobus,A12,1965217,
"Heiligensee, Alt-Heiligensee","52.601746367041294, 13.21022269051491",autobus,A13,1965218,
Am Dachsbau Ecke Heiligenseestrasse,"52.60656467208396, 13.229824497284039",autobus,A13,1965219,
Ruppinerchaussee Ecke Heiligenseestrasse,"52.59792775294513, 13.275027242856487",autobus,A13,1965221,
Bernauerstrasse Ecke Berlinerstrasse,"52.57632475260779, 13.294710037759499",autobus,A13,1965223,
Strasse nach Saatwinkel Ecke Bernauerstrasse,"52.56775987035213, 13.257912049690379",autobus,A13,1965225,
Daumstrasse Ecke Am Juliusturm,"52.53927882132823, 13.232063007097036",autobus,A13,1965227,
Carl-Schurzstrasse Ecke Am Juliusturm,"52.53954249398432, 13.205594196367462",autobus,A13,1965228,
Päwesinerweg Ecke Seeburgerstrasse,"52.52631959294851, 13.181860012567594",autobus,A13,1965230,
Weinmeisterhornweg Ecke Wilhelmstrasse,"52.51102790172263, 13.171601606655427",autobus,A13,1965232,
Mattenbuder Pfad Ecke Henningsdorferstrasse,"52.61696711308335, 13.22053385380648",autobus,A14,1965233,
Ruppinerchaussee Ecke Henningsdorferstrasse,"52.62646799855344, 13.227550309316973",autobus,A14,1965234,
Schulzendorferstrasse Ecke Ruppinerchaussee,"52.614416454819946, 13.244890679158836",autobus,A14,1965235,
Heiligenseestrasse Ecke Karolinenstrasse,"52.59793113175234, 13.275026103907962",autobus,A14,1965236,
"Alt-Wittenau, Rathaus Reinickendorf","52.59196650778825, 13.326445244527497",autobus,A14,1965238,
Aroserallee Ecke Lindauerallee,"52.573787531408655, 13.351971035908372",autobus,A14,1965239,
Kopenhagenerstrasse Ecke Klemkestrasse,"52.57426440573945, 13.359178689437057",autobus,A14,1965240,
Klemkestrasse Ecke Sommerstrasse,"52.57477831565662, 13.373530412837825",autobus,A14,1965241,
Pankowerallee Ecke Provinzstrasse,"52.56468479917933, 13.378062801095682",autobus,A14,1965242,
Osloerstrasse Ecke Drontheimerstrasse,"52.55645126720779, 13.377054188462681",autobus,A14,1965243,
U-Bhf. Gesundbrunnen,"52.5494794198543, 13.386524009213332",autobus,A14,1965245,
Rügenerstrasse Ecke Brunnenstrasse,"52.54472500061448, 13.391024678278747",autobus,A14,1965246,
Lübarserstrasse Ecke Eichorsterweg,"52.602797351864844, 13.335754753614122",autobus,A15,1965247,
Cyclopstrasse Ecke Oranienburgerstrasse,"52.59750985473398, 13.332558073351418",autobus,A15,1965248,
Holzhauserstrasse Ecke Breitenbachstrasse,"52.58199553104089, 13.305454554200603",autobus,A15,1965251,
Borsigwalderweg Ecke Ecke Conradstrasse,"52.584810777279046, 13.297938297275914",autobus,A15,1965252,
Hermsdorferdamm Ecke Karolinenstrasse,"52.59996370358416, 13.281329326236364",autobus,A15,1965254,
Schulzendorferstrasse Ecke Hermsdorferdamm,"52.61058699059071, 13.295508429723712",autobus,A15,1965255,
Dominikus Krankenhaus,"52.626196524368744, 13.294495665499268",autobus,A15,1965256,
Donnersmarckplatz,"52.6301505003976, 13.28045133026265",autobus,A15,1965257,
Zeitlingerplatz,"52.633522574497604, 13.29039813478413",autobus,A15,1965258,
Invalidensiedlung,"52.65584641928224, 13.29035792910375",autobus,A15,1965260,
Osloerstrasse Ecke Koloniestrasse,"52.55643379535822, 13.377442640718405",autobus,A16,1965261,
Luise-Schroeder-Platz,"52.55703814854013, 13.366286431058995",autobus,A16,1965262,
Fennstrasse Ecke Tegelerstrasse,"52.537944519371806, 13.361618061998351",autobus,A16,1965264,
Wilsnackerstrasse Ecke Perlebergerstrasse,"52.53188507969529, 13.349290413492438",autobus,A16,1965265,
Wiesbadenerstrasse Ecke Südwestkorso,"52.47164316811954, 13.31958711664752",autobus,A16,1965270,
